                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.92428,                0.60876,                 1.0412,                0.96544,                   0.95,                0.98862,                0.81019,                0.73002,                 0.4287,                 0.9292,             0.00098624,             0.00098624,             0.00098624
                    130,                0.94225,                0.62192,                 1.0384,                 0.9608,                0.98038,                0.99121,                0.81777,                0.71955,                0.40722,                0.92441,             0.00097832,             0.00097832,             0.00097832
                    131,                0.91235,                0.59727,                 1.0355,                0.95811,                  0.955,                 0.9877,                0.79389,                0.76903,                0.42766,                0.94613,              0.0009704,              0.0009704,              0.0009704
                    132,                0.91576,                0.61091,                 1.0356,                0.97677,                0.94617,                0.98854,                 0.8167,                0.72896,                0.41751,                0.93533,             0.00096248,             0.00096248,             0.00096248
                    133,                0.91255,                0.61353,                 1.0304,                 0.9672,                  0.965,                0.98874,                0.82128,                0.72025,                0.40537,                0.92312,             0.00095456,             0.00095456,             0.00095456
                    134,                 0.9089,                0.60134,                 1.0335,                0.96305,                0.97743,                0.99086,                0.82811,                0.69317,                0.40087,                 0.9128,             0.00094664,             0.00094664,             0.00094664
                    135,                0.91704,                0.60257,                 1.0304,                0.98297,                 0.9575,                0.99217,                0.81868,                0.73194,                0.39082,                 0.9211,             0.00093872,             0.00093872,             0.00093872
                    136,                0.90635,                0.59044,                 1.0256,                0.96019,                0.96476,                0.98916,                0.81579,                0.71604,                0.40929,                0.91934,              0.0009308,              0.0009308,              0.0009308
                    137,                 0.9042,                0.58728,                 1.0306,                0.97969,                 0.9645,                0.98993,                0.83872,                0.67471,                0.39145,                0.91171,             0.00092288,             0.00092288,             0.00092288
                    138,                0.88146,                0.58054,                 1.0186,                0.96206,                   0.95,                 0.9887,                0.83353,                0.67587,                0.39462,                0.90918,             0.00091496,             0.00091496,             0.00091496
                    139,                0.90303,                 0.6086,                 1.0309,                0.98037,                 0.9525,                0.98979,                0.82857,                0.67301,                0.38947,                0.90707,             0.00090704,             0.00090704,             0.00090704
                    140,                0.89989,                0.58325,                 1.0259,                0.97727,                0.96721,                0.99307,                0.83247,                0.68526,                  0.378,                0.90832,             0.00089912,             0.00089912,             0.00089912
                    141,                 0.8791,                0.58155,                 1.0124,                0.97476,                 0.9653,                0.98778,                0.83205,                 0.6764,                0.38773,                0.90822,              0.0008912,              0.0008912,              0.0008912
                    142,                0.88643,                0.58106,                 1.0165,                0.97714,                0.96178,                0.98961,                0.82758,                0.68407,                0.39159,                0.90827,             0.00088328,             0.00088328,             0.00088328
                    143,                0.88338,                0.57984,                  1.022,                0.96825,                   0.96,                0.99097,                0.82913,                0.69012,                0.38908,                0.90915,             0.00087536,             0.00087536,             0.00087536
                    144,                0.86746,                0.55766,                   1.01,                0.97739,                0.97271,                0.98999,                0.83309,                0.67374,                0.37584,                 0.9037,             0.00086744,             0.00086744,             0.00086744
                    145,                0.88172,                0.57339,                 1.0136,                 0.9797,                0.96503,                0.99061,                 0.8325,                0.68164,                0.37872,                0.91008,             0.00085952,             0.00085952,             0.00085952
                    146,                0.87339,                 0.5714,                  1.021,                0.97453,                0.95644,                0.99108,                  0.842,                0.66883,                0.37118,                0.90399,              0.0008516,              0.0008516,              0.0008516
                    147,                0.88092,                 0.5638,                 1.0149,                 0.9694,                  0.975,                0.99248,                0.84235,                0.67151,                0.37035,                0.90108,             0.00084368,             0.00084368,             0.00084368
                    148,                0.87688,                0.56204,                  1.013,                0.97963,                0.96182,                0.98899,                0.82893,                0.68291,                0.38198,                0.90763,             0.00083576,             0.00083576,             0.00083576
                    149,                0.85502,                 0.5611,                 1.0024,                0.97983,                0.97169,                0.98772,                0.83399,                0.67185,                0.38333,                0.90353,             0.00082784,             0.00082784,             0.00082784
