                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.0223,                0.72527,                 1.0916,                0.91979,                0.91739,                 0.9656,                0.75761,                0.83092,                0.53063,                0.99701,             0.00089863,             0.00089863,             0.00089863
                     92,                 1.0079,                0.69889,                 1.0846,                0.90628,                   0.92,                0.95662,                0.75116,                0.82202,                0.52383,                0.98672,             0.00088625,             0.00088625,             0.00088625
                     93,                  1.019,                0.69733,                 1.0886,                0.90817,                 0.9075,                0.94992,                0.74342,                 0.8385,                0.55176,                0.99075,             0.00087388,             0.00087388,             0.00087388
                     94,                 1.0077,                 0.7124,                 1.0844,                0.89815,                  0.925,                0.96256,                0.75521,                 0.8154,                0.53449,                0.98448,              0.0008615,              0.0008615,              0.0008615
                     95,                0.98341,                0.67164,                  1.082,                0.92111,                 0.9025,                0.96138,                0.76664,                0.80852,                 0.5238,                 0.9761,             0.00084912,             0.00084912,             0.00084912
                     96,                0.98661,                0.69275,                 1.0697,                0.91503,                 0.9175,                0.96135,                0.75907,                0.81153,                 0.5274,                0.97909,             0.00083675,             0.00083675,             0.00083675
                     97,                0.98129,                0.67289,                 1.0731,                0.89636,                 0.9475,                0.96472,                0.76898,                0.78683,                0.51163,                0.96471,             0.00082438,             0.00082438,             0.00082438
                     98,                0.98179,                0.67441,                 1.0669,                0.93402,                0.92016,                0.96385,                0.75596,                0.81845,                0.51234,                0.97461,               0.000812,               0.000812,               0.000812
                     99,                 0.9808,                0.67742,                 1.0688,                0.91215,                0.93444,                0.96956,                0.76237,                0.82352,                 0.5103,                 0.9799,             0.00079963,             0.00079963,             0.00079963
                    100,                0.98324,                0.67819,                 1.0775,                0.93527,                 0.9175,                0.96832,                0.77003,                0.80156,                0.50353,                0.97248,             0.00078725,             0.00078725,             0.00078725
                    101,                0.97795,                0.67575,                 1.0746,                0.92126,                0.90675,                0.97476,                0.77549,                0.78915,                0.48743,                 0.9636,             0.00077487,             0.00077487,             0.00077487
                    102,                0.94961,                0.65917,                 1.0533,                0.94862,                 0.9175,                0.97711,                0.78472,                0.77399,                0.48699,                0.95247,              0.0007625,              0.0007625,              0.0007625
                    103,                0.96817,                0.65213,                 1.0646,                0.94084,                0.91439,                0.97597,                0.77821,                 0.7811,                0.48169,                0.96747,             0.00075013,             0.00075013,             0.00075013
                    104,                 0.9482,                  0.636,                 1.0513,                0.91106,                0.94755,                0.97606,                0.78737,                0.77842,                0.47833,                0.95683,             0.00073775,             0.00073775,             0.00073775
                    105,                0.95533,                 0.6395,                 1.0618,                0.94969,                0.94386,                0.98269,                0.80591,                0.74195,                0.44478,                0.94208,             0.00072537,             0.00072537,             0.00072537
                    106,                0.93343,                0.63589,                 1.0504,                0.92069,                   0.95,                0.98207,                 0.7992,                0.75507,                0.45591,                0.94995,               0.000713,               0.000713,               0.000713
                    107,                0.94684,                0.62041,                  1.049,                 0.9618,                  0.925,                0.98206,                0.80187,                 0.7515,                0.44944,                 0.9417,             0.00070063,             0.00070063,             0.00070063
                    108,                0.93771,                0.63279,                 1.0494,                0.92341,                   0.95,                0.97602,                0.79624,                0.74704,                0.45825,                0.94117,             0.00068825,             0.00068825,             0.00068825
                    109,                0.94486,                0.64207,                 1.0507,                0.96163,                0.93989,                0.98137,                0.79412,                0.75964,                 0.4617,                0.94564,             0.00067588,             0.00067588,             0.00067588
                    110,                0.92946,                 0.6324,                 1.0441,                0.94727,                0.94316,                0.98354,                0.79769,                0.76405,                0.44406,                 0.9436,              0.0006635,              0.0006635,              0.0006635
                    111,                0.92207,                0.61764,                 1.0365,                0.94377,                0.96514,                0.98303,                 0.8109,                0.72476,                 0.4235,                0.93019,             0.00065113,             0.00065113,             0.00065113
                    112,                0.92319,                0.62121,                  1.033,                0.93725,                0.97081,                0.98806,                 0.8183,                0.72219,                0.42138,                0.92851,             0.00063875,             0.00063875,             0.00063875
                    113,                0.91362,                0.61451,                 1.0313,                0.95308,                   0.96,                0.98437,                0.81057,                0.72071,                0.42288,                0.92942,             0.00062637,             0.00062637,             0.00062637
                    114,                0.93111,                0.61837,                 1.0437,                0.96255,                0.96396,                0.98655,                0.81746,                0.71994,                0.42192,                0.93003,               0.000614,               0.000614,               0.000614
                    115,                0.91165,                0.60833,                 1.0286,                0.96638,                   0.94,                 0.9843,                0.80937,                0.74345,                0.43525,                0.93474,             0.00060162,             0.00060162,             0.00060162
                    116,                0.89923,                0.59725,                 1.0343,                0.96955,                 0.9553,                0.98568,                0.81582,                0.70827,                0.42422,                 0.9291,             0.00058925,             0.00058925,             0.00058925
                    117,                0.89876,                0.59578,                 1.0273,                 0.9486,                0.96882,                0.98585,                 0.8193,                0.70324,                0.40544,                0.92109,             0.00057688,             0.00057688,             0.00057688
                    118,                0.90569,                0.59635,                 1.0304,                0.96252,                0.96301,                0.98632,                 0.8226,                0.70451,                0.41578,                0.91798,              0.0005645,              0.0005645,              0.0005645
                    119,                0.89547,                0.60322,                 1.0294,                0.97023,                  0.935,                0.98285,                0.81951,                0.70646,                0.41932,                0.92273,             0.00055213,             0.00055213,             0.00055213
                    120,                0.89312,                0.59629,                 1.0218,                0.96957,                0.95595,                0.98559,                0.82488,                0.69006,                0.40359,                0.91703,             0.00053975,             0.00053975,             0.00053975
                    121,                0.88562,                0.58621,                 1.0232,                0.96207,                0.95104,                 0.9881,                0.82412,                0.69707,                0.40425,                0.91847,             0.00052737,             0.00052737,             0.00052737
                    122,                0.87821,                0.57704,                 1.0185,                0.95828,                 0.9675,                0.98674,                0.82337,                0.70509,                0.40375,                0.92341,               0.000515,               0.000515,               0.000515
